id,result,context
b742dce1-5a46-4eea-969d-bbce28d255b1,success,"{'amount_in': 50000, 'amount_out': '8422', 'input_token': 'So11111111111111111111111111111111111111112', 'output_token': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}"
1e1bc276-7b2d-4635-9971-64a58503dbb6,success,"{'amount_in': 50000, 'amount_out': '8422', 'input_token': 'So11111111111111111111111111111111111111112', 'output_token': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}"
f716a405-2752-4cb0-90e6-f4fbbe0158d8,success,"{'amount_in': 50000, 'amount_out': '8421', 'input_token': 'So11111111111111111111111111111111111111112', 'output_token': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}"
414239de-e041-48b5-abb1-a10112ccb8ff,success,"{'amount_in': 50000, 'amount_out': '8422', 'input_token': 'So11111111111111111111111111111111111111112', 'output_token': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}"
70e6fd19-c621-4eb7-96bc-b05fb8825702,success,"{'amount_in': 50000, 'amount_out': '8422', 'input_token': 'So11111111111111111111111111111111111111112', 'output_token': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}"
3fb7177d-42b3-44e7-b8b1-4f29419a47a5,success,"{'amount_in': 50000, 'amount_out': '8410', 'input_token': 'So11111111111111111111111111111111111111112', 'output_token': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}"
49a7e4d7-06a4-4a21-a996-d9a88a48407b,success,"{'amount_in': 50000, 'amount_out': '8410', 'input_token': 'So11111111111111111111111111111111111111112', 'output_token': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}"
df38feb9-686e-44c7-a653-7fed290560f7,success,"{'amount_in': 50000, 'amount_out': '8410', 'input_token': 'So11111111111111111111111111111111111111112', 'output_token': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}"
ac948403-b517-408c-8ae7-d0e7d450b68e,success,"{'amount_in': 50000, 'amount_out': '8410', 'input_token': 'So11111111111111111111111111111111111111112', 'output_token': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}"
8c5dcef1-025e-4886-9926-0f978beb2a56,success,"{'amount_in': 50000, 'amount_out': '8410', 'input_token': 'So11111111111111111111111111111111111111112', 'output_token': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}"
eb315d2e-bec8-4b62-b489-ffa8bf7e68f0,success,"{'amount_in': 50000, 'amount_out': '8410', 'input_token': 'So11111111111111111111111111111111111111112', 'output_token': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}"
